,Date,Open,High,Low,Close,Volume
93,2009-01-01,456.0,476.0,456.0,473.8,72400.0
94,2009-01-12,487.9,493.05,470.0,477.8,52800.0
95,2009-01-21,435.0,458.0,430.0,440.1,50500.0
96,2009-02-02,480.0,480.0,451.1,455.1,24100.0
97,2009-02-12,467.0,475.0,453.4,455.1,54000.0
98,2009-02-20,385.0,405.5,365.2,400.35,17150.0
99,2009-03-02,364.0,366.0,354.0,360.0,69200.0
100,2009-03-12,502.4,650.8,354.0,363.6,17150.0
101,2009-03-23,373.5,472.0,366.0,372.3,94300.0
102,2009-04-01,427.4,433.0,414.05,424.3,17150.0
103,2009-04-21,540.0,544.4,525.0,529.55,92800.0
104,2009-05-11,474.0,479.0,458.2,465.5,63500.0
105,2009-05-21,661.0,662.0,613.0,617.1,79000.0
106,2009-06-01,660.0,677.0,649.1,669.1,17150.0
107,2009-06-11,785.0,785.0,743.0,755.0,76800.0
108,2009-06-22,745.0,767.0,732.15,737.5,61000.0
109,2009-07-01,780.0,794.5,749.0,780.7,69800.0
110,2009-07-10,715.0,724.0,675.05,695.4,35100.0
111,2009-07-21,731.0,752.0,723.6,737.0,67100.0
112,2009-08-03,705.0,728.0,705.0,724.25,17150.0
113,2009-08-13,664.0,689.0,664.0,685.05,78700.0
114,2009-08-24,715.0,728.0,715.0,716.5,85500.0
115,2009-09-01,759.5,759.5,627.0,627.0,47700.0
116,2009-09-11,738.0,752.0,735.0,742.25,30200.0
117,2009-10-01,780.0,794.85,774.5,784.55,38500.0
118,2009-10-12,788.0,790.05,778.3,790.05,66800.0
119,2009-10-21,808.0,814.35,803.0,814.35,94700.0
120,2009-11-12,771.0,776.5,755.35,767.8,17150.0
121,2009-11-23,773.45,778.8,764.0,766.55,46900.0
122,2009-12-01,739.1,747.0,739.1,743.45,62700.0
123,2009-12-11,746.0,759.0,741.1,751.2,17150.0
124,2009-12-21,764.2,766.0,749.0,753.3,17150.0
125,2010-01-11,803.0,820.6,802.0,820.6,17150.0
126,2010-01-21,855.9,880.0,831.25,837.4,81200.0
127,2010-02-01,811.95,822.9,805.0,813.15,44500.0
128,2010-02-11,794.0,807.0,789.05,792.25,19000.0
129,2010-02-22,812.0,820.0,798.5,800.9,27200.0
130,2010-03-02,794.0,796.5,775.25,782.9,44400.0
131,2010-03-12,874.95,875.0,862.35,869.8,47100.0
132,2010-03-22,842.0,850.0,825.0,833.5,42000.0
133,2010-04-01,840.0,840.95,825.0,828.0,48800.0
134,2010-04-12,851.0,853.9,837.1,844.05,47500.0
135,2010-04-21,861.0,864.85,848.0,851.25,25000.0
136,2010-05-03,799.8,799.8,741.0,744.25,17150.0
137,2010-05-13,689.0,696.0,683.0,689.15,48800.0
138,2010-05-24,830.1,830.1,829.1,829.1,44600.0
139,2010-06-01,853.3,858.7,845.25,852.6,13400.0
140,2010-06-11,865.0,865.0,854.0,858.6,13300.0
141,2010-06-21,862.1,879.9,859.2,869.55,68800.0
142,2010-07-01,867.0,867.0,858.15,860.05,48800.0
143,2010-07-12,865.0,866.7,860.5,865.05,33500.0
144,2010-07-21,855.0,860.1,846.0,847.95,58300.0
145,2010-08-02,813.0,813.0,796.0,803.25,71500.0
146,2010-08-12,804.0,804.0,771.1,782.0,19900.0
147,2010-08-23,771.0,784.9,771.0,777.6,20800.0
148,2010-09-01,785.0,785.0,770.0,777.9,8900.0
149,2010-09-09,785.0,786.5,780.4,782.85,5100.0
150,2010-09-21,865.0,865.0,840.0,856.0,18400.0
